TAG,DESCRIPTION,UNITE,MIN,MAX,DATATYPE,DATASCIENTISM,PRECISION,FREQUENCE_ECHANTILLONNAGE,VAL_DEF
PV00000001-centrale SLS 80kWc-kW-JTW,centrale PV sls 80 kWc - puissance PV,JTW,-200000,200000,REAL,True,0.01,5,0
PV00000001-centrale SLS 80kWc-kWh-JTWH,centrale PV sls 80 kWc - compteur PV,JTWH,-200000,200000,REAL,True,0.01,5,0
