uhafID,father,child
UHAFTMP_0,,Cell
UHAFTMP_1,Cell,Epithelial tissue
UHAFTMP_2,Cell,Connective tissue
UHAFTMP_3,Cell,Muscle tissue
UHAFTMP_4,Cell,Nerve tissue
UHAFTMP_5,Epithelial tissue,Epithelial cell
UHAFTMP_6,Epithelial tissue,Epithelial progenitor cell
UHAFTMP_7,Epithelial tissue,Oogonial stem cell
UHAFTMP_8,Connective tissue,Ovarian connective tissue cell
UHAFTMP_9,Ovarian connective tissue cell,Oocyte progenitor
UHAFTMP_10,Oocyte progenitor,Primary oocyte
UHAFTMP_11,Oocyte progenitor,Secondary oocyte
UHAFTMP_12,Ovarian connective tissue cell,Germ cell
UHAFTMP_13,Germ cell,Oocyte(Ootid/Ovum)
UHAFTMP_14,Ovarian connective tissue cell,Polar body
UHAFTMP_15,Polar body,Primary polar body
UHAFTMP_16,Polar body,Secondary polar body
UHAFTMP_17,Ovarian connective tissue cell,Periovular cell
UHAFTMP_18,Periovular cell,Follicular cell
UHAFTMP_19,Periovular cell,Granulosa cell
UHAFTMP_20,Granulosa cell,Granulosa lutein cell
UHAFTMP_21,Periovular cell,Theca cell
UHAFTMP_22,Theca cell,Theca lutein cell
UHAFTMP_23,Ovarian connective tissue cell,Hilus cell
UHAFTMP_24,Connective tissue,Stromal cell
UHAFTMP_25,Stromal cell,Adipocyte
UHAFTMP_26,Stromal cell,Fibroblast
UHAFTMP_27,Muscle tissue,Muscle cell
UHAFTMP_28,Muscle cell,Smooth muscle cell
UHAFTMP_29,Nerve tissue,Neuroglial cell
UHAFTMP_30,Neuroglial cell,Schwann cell
UHAFTMP_31,Neuroglial cell,Satellite cell
UHAFTMP_32,Nerve tissue,Neuron
UHAFTMP_33,Neuron,Amino acid neuron
UHAFTMP_34,Amino acid neuron,Gabaergic neuron
UHAFTMP_35,Amino acid neuron,Glutamatergic neuron
UHAFTMP_36,Amino acid neuron,Cholinergic neuron
UHAFTMP_37,Amino acid neuron,Histaminergic neuron
UHAFTMP_38,Neuron,Aminergic neuron
UHAFTMP_39,Aminergic neuron,Dopaminergic neuron
UHAFTMP_40,Aminergic neuron,Serotonergic neuron
UHAFTMP_41,Aminergic neuron,Noradrenergic neuron
UHAFTMP_42,Neuron,Peptidergic neuron
UHAFTMP_43,Epithelial cell,Myoepithelial cell
UHAFTMP_44,Myoepithelial cell,Myoid cell
UHAFTMP_45,Epithelial cell,Sustentacular cell
UHAFTMP_46,Sustentacular cell,Sertoli cell
UHAFTMP_47,Epithelial cell,Endothelial cell
UHAFTMP_48,Epithelial tissue,Acinar cell
UHAFTMP_49,Epithelial tissue,Tubule cell
UHAFTMP_50,Epithelial tissue,Spermatogonial stem cell
UHAFTMP_51,Epithelial tissue,Spermatogenic cell
UHAFTMP_52,Spermatogenic cell,Spermatogonia
UHAFTMP_53,Spermatogonia,Differentiating spermatogonia
UHAFTMP_54,Spermatogonia,Differentiated spermatogonia
UHAFTMP_55,Spermatogenic cell,Primary spermatocyte
UHAFTMP_56,Primary spermatocyte,Leptotene spermatocyte
UHAFTMP_57,Primary spermatocyte,Diplotene spermatocyte
UHAFTMP_58,Primary spermatocyte,Pachytene spermatocyte
UHAFTMP_59,Primary spermatocyte,Zygotene spermatocyte
UHAFTMP_60,Spermatogenic cell,Secondary spermatocyte
UHAFTMP_61,Epithelial tissue,Spermatid
UHAFTMP_62,Epithelial tissue,Sperm
UHAFTMP_63,Connective tissue,Fasciculata cell
UHAFTMP_64,Connective tissue,Interstitial cell
UHAFTMP_65,Interstitial cell,Leydig cell
UHAFTMP_66,Stromal cell,Mesenchymal stromal cell
UHAFTMP_67,Muscle tissue,Muscle progenitor cell
UHAFTMP_68,Muscle progenitor cell,Muscle satellite cell
UHAFTMP_69,Smooth muscle cell,Vascular smooth muscle cell
UHAFTMP_70,Smooth muscle cell,Lymphatic smooth muscle cell
UHAFTMP_71,Smooth muscle cell,Visceral smooth muscle cell
UHAFTMP_72,Epithelial cell,Basal cell
UHAFTMP_73,Epithelial cell,Luminal cell
UHAFTMP_74,Epithelial cell,Secretory epithelial cells
UHAFTMP_75,Secretory epithelial cells,Endocrine cell
UHAFTMP_76,Epithelial cell,Amnion cell
UHAFTMP_77,Epithelial cell,Trophoblast cell
UHAFTMP_78,Endothelial cell,Capillary endothelial cell
UHAFTMP_79,Basal cell,Basal decidual cell
UHAFTMP_80,Basal cell,Basal membrane cell
UHAFTMP_81,Basal membrane cell,Capillary basal membrane cell
UHAFTMP_82,Neuron,Aminergicneuron
UHAFTMP_83,Aminergicneuron,Dopaminergic neuron
UHAFTMP_84,Aminergicneuron,Serotonergic neuron
UHAFTMP_85,Aminergicneuron,Noradrenergic neuron
UHAFTMP_86,Basal cell,Predecidual cell
UHAFTMP_87,Epithelial cell,Ciliated cell
UHAFTMP_88,Epithelial cell,Vascular parietal cell
UHAFTMP_89,Epithelial cell,Reverse cell
UHAFTMP_90,Epithelial tissue,Endometrial stem cell
UHAFTMP_91,Epithelial tissue,Mesothelial cell
UHAFTMP_92,Neuron,Inhibitory neuron
UHAFTMP_93,Inhibitory neuron,PV inhibitory neuron
UHAFTMP_94,Inhibitory neuron,SOM inhibitory neuron
UHAFTMP_95,Inhibitory neuron,5HT3aR expressing neuron
UHAFTMP_96,5HT3aR expressing neuron,VIP inhibitory neuron
UHAFTMP_97,5HT3aR expressing neuron,Reelin expressing neuron
UHAFTMP_98,Inhibitory neuron,Stellate cell
UHAFTMP_99,Inhibitory neuron,Basket cell
UHAFTMP_100,Inhibitory neuron,Pukinje cell
UHAFTMP_101,Inhibitory neuron,Golgi cell
UHAFTMP_102,Inhibitory neuron,Fusiform cell
UHAFTMP_103,Neuron,Excitatory neuron
UHAFTMP_104,Excitatory neuron,Granule cell
UHAFTMP_105,Neuroglial cell,Astrocyte
UHAFTMP_106,Astrocyte,Fibrous astrocyte
UHAFTMP_107,Astrocyte,Protoplasmic astrocyte
UHAFTMP_108,Neuroglial cell,Oligodendrocyte
UHAFTMP_109,Neuroglial cell,Microglia
UHAFTMP_110,Neuroglial cell,Oligodendrocyte precursor cell (OPC)
UHAFTMP_111,Neuroglial cell,Ependymal cell
UHAFTMP_112,Nerve tissue,Neural progenitor cell
UHAFTMP_113,Nerve tissue,Progenitor cell
UHAFTMP_114,Nerve tissue,Proliferating cell
UHAFTMP_115,Endothelial cell,Pericyte
UHAFTMP_116,Epithelial tissue,Vascular cell
UHAFTMP_117,Connective tissue,Mesenchymal cell
UHAFTMP_118,Smooth muscle cell,Vascular smooth cell
UHAFTMP_119,Smooth muscle cell,Lymphatic smooth cell
UHAFTMP_120,Neuron,Sensory neuron
UHAFTMP_121,Sensory neuron,Photoreceptor cell
UHAFTMP_122,Photoreceptor cell,Rod cell
UHAFTMP_123,Photoreceptor cell,Cone cell
UHAFTMP_124,Sensory neuron,Bipolar cell
UHAFTMP_125,Bipolar cell,Amacrine cell
UHAFTMP_126,Bipolar cell,Horizontal cell
UHAFTMP_127,Bipolar cell,Interplexiform cell
UHAFTMP_128,Sensory neuron,Ganglion cell
UHAFTMP_129,Ganglion cell,Retinal ganglion cell
UHAFTMP_130,Sensory neuron,Intrinsically photosensitive retinal ganglion cell (ipRGC)
UHAFTMP_131,Neuroglial cell,Muller cell
UHAFTMP_132,Epithelial cell,Polyhedral cell
UHAFTMP_133,Polyhedral cell,Prickle cell
UHAFTMP_134,Epithelial cell,Vascular epithelial cell
UHAFTMP_135,Epithelial cell,Pigment epithelial cell
UHAFTMP_136,Epithelial cell,Melanocyte
UHAFTMP_137,Fibroblast,Keratocyte
UHAFTMP_138,Neuron,Pyramidal neuron
UHAFTMP_139,Neuron,Purkinje cell
UHAFTMP_140,Neuron,Motor neuron
UHAFTMP_141,Motor neuron,Renshaw cell
UHAFTMP_142,Motor neuron,Tract cell
UHAFTMP_143,Neuron,Sympathetic neuron
UHAFTMP_144,Endothelial cell,Vascular endothelial cell
UHAFTMP_145,Endothelial cell,Lymphatic endothelial cell
UHAFTMP_146,Epithelial cell,Perineural epithelial cell
UHAFTMP_147,Epithelial cell,Keratinocyte
UHAFTMP_148,Secretory epithelial cells,Sebaceous gland cell
